2019-06-05 22:10:47.698862, 3e-11, 17, 30, 35, 60, 107, 119, 170, 200
2019-06-05 22:10:52.700643, 4e-11, 15, 26, 37, 61, 104, 116, 170, 202
2019-06-05 22:10:57.701307, 3e-11, 16, 28, 35, 62, 107, 118, 160, 202
2019-06-05 22:11:02.701722, 4.9999999999999995e-11, 17, 26, 40, 64, 107, 118, 161, 201
2019-06-05 22:11:07.701838, 6e-11, 19, 27, 36, 66, 110, 120, 169, 202
2019-06-05 22:11:12.702024, 6e-11, 18, 25, 37, 68, 105, 117, 170, 201
2019-06-05 22:11:17.702085, 3e-11, 20, 26, 38, 62, 107, 118, 161, 202
2019-06-05 22:11:22.702689, 6e-11, 17, 26, 38, 61, 104, 117, 160, 202
2019-06-05 22:11:27.704466, 4.9999999999999995e-11, 16, 25, 35, 60, 105, 119, 159, 201
2019-06-05 22:11:32.704466, 6e-11, 17, 27, 38, 70, 110, 120, 168, 201
2019-06-05 22:11:37.704751, 4.9999999999999995e-11, 19, 27, 38, 60, 104, 117, 167, 200
2019-06-05 22:11:42.704759, 4.9999999999999995e-11, 20, 26, 35, 63, 106, 117, 161, 201
2019-06-05 22:11:47.705071, 6e-11, 17, 29, 37, 63, 107, 119, 161, 201
2019-06-05 22:11:52.706944, 4e-11, 18, 29, 37, 60, 107, 116, 158, 200
2019-06-05 22:11:57.707119, 6e-11, 17, 26, 35, 60, 110, 117, 155, 201
2019-06-05 22:12:02.708419, 4e-11, 15, 27, 35, 60, 110, 118, 160, 200
2019-06-05 22:12:07.708755, 6e-11, 20, 25, 36, 65, 108, 120, 167, 202
2019-06-05 22:12:12.709587, 3e-11, 18, 28, 40, 63, 105, 118, 156, 200
2019-06-05 22:12:17.709861, 4e-11, 19, 28, 38, 64, 102, 119, 162, 200
2019-06-05 22:12:22.710450, 4.9999999999999995e-11, 19, 30, 37, 60, 102, 118, 156, 201
2019-06-05 22:12:27.710597, 6e-11, 16, 26, 39, 65, 105, 117, 155, 202
2019-06-05 22:12:32.710895, 4.9999999999999995e-11, 16, 29, 40, 68, 110, 119, 168, 202
2019-06-05 22:12:37.711064, 4e-11, 18, 30, 38, 60, 102, 115, 158, 200
2019-06-05 22:12:42.711069, 6e-11, 16, 25, 36, 61, 106, 115, 169, 202
2019-06-05 22:12:47.711340, 6e-11, 19, 30, 38, 63, 102, 117, 166, 202
2019-06-05 22:12:52.712401, 3e-11, 19, 25, 38, 68, 109, 119, 161, 200
2019-06-05 22:12:57.712881, 6e-11, 15, 26, 40, 61, 108, 120, 161, 200
2019-06-05 22:13:02.713754, 4e-11, 15, 30, 37, 65, 108, 115, 155, 202
2019-06-05 22:13:07.714676, 3e-11, 15, 30, 36, 66, 110, 119, 169, 200
2019-06-05 22:13:12.714758, 4e-11, 19, 25, 36, 68, 104, 120, 160, 200
2019-06-05 22:13:17.715528, 4e-11, 20, 25, 37, 69, 103, 115, 157, 202
2019-06-05 22:13:22.716532, 4e-11, 15, 26, 40, 67, 101, 115, 156, 202
2019-06-05 22:13:27.716595, 3e-11, 18, 28, 37, 64, 110, 118, 163, 201
2019-06-05 22:13:32.717504, 3e-11, 19, 28, 40, 67, 105, 120, 164, 202
2019-06-05 22:13:37.717981, 6e-11, 17, 28, 38, 65, 102, 118, 160, 200
2019-06-05 22:13:42.719598, 4e-11, 18, 26, 38, 61, 103, 115, 158, 201
2019-06-05 22:13:47.720584, 3e-11, 16, 28, 37, 64, 103, 119, 162, 200
2019-06-05 22:13:52.720673, 6e-11, 17, 26, 37, 70, 110, 115, 159, 200
2019-06-05 22:13:57.720732, 3e-11, 16, 26, 40, 65, 102, 116, 163, 202
2019-06-05 22:14:02.720791, 3e-11, 18, 28, 39, 67, 108, 117, 161, 200
2019-06-05 22:14:07.720944, 4e-11, 16, 30, 36, 70, 106, 116, 164, 202
2019-06-05 22:14:12.721164, 4.9999999999999995e-11, 17, 26, 37, 68, 107, 117, 162, 200
2019-06-05 22:14:17.721223, 4.9999999999999995e-11, 20, 25, 38, 66, 109, 116, 164, 202
2019-06-05 22:14:22.721423, 3e-11, 18, 30, 38, 66, 106, 115, 166, 201
2019-06-05 22:14:27.721873, 3e-11, 20, 30, 37, 63, 104, 117, 159, 201
2019-06-05 22:14:32.722520, 4e-11, 18, 26, 35, 67, 102, 118, 161, 201
2019-06-05 22:14:37.722653, 3e-11, 19, 27, 37, 63, 103, 116, 155, 202
